Model name,Tuned/untuned or base,Question (1-5),Answer,"Context pulled, score and text"
Mistral-7B-Instruct-v0.3,Tuned,What is the history of the Wren Building?,"The Wren Building is the oldest college building in the United States, constructed between 1695 and 1700. It was built under the guidance of Sir Christopher Wren, who was commissioned by King William III and Queen Mary II. The building originally housed classrooms, a chapel, and a library. During the Revolutionary War, the building served as a storage facility, a prison, and a hospital. In 1888, the building was restored with a Gothic Revival facade, designed by A.C. Guild. Today, it serves as the symbol of William & Mary and houses the College's administrative offices. Throughout its history, the Wren Building has been an important symbol of learning and community for the university.","score: -10.027568817138672, text: 'ants of the community. Belonging is among the most basic of human needs, said panel moderator Johnette Weaver...'"
Mistral-7B-Instruct-v0.3,Tuned,Give me a recipe for ice cream.,"I'm glad to see your interest in the William & Mary community! However, your question about a recipe for ice cream is unrelated to W&M. I'd be happy to help you with your academic journey instead. If you have any questions about the programs or initiatives mentioned, such as the Tri-Alpha induction or the Griffin Mentorship Program, feel free to ask!","score: -10.985937118530273, text: 'wear a Tri-Alpha cord when they graduate. ""During Family Weekend, 80 undergraduate students and 26 faculty a...'"
Mistral-7B-Instruct-v0.3,Tuned,I'm a freshman trying to decide what major to pursue. What are some options?,"That's a great question! William & Mary offers a wide range of majors, including Accounting, Archaeology, Business, Chemistry, Computer Science, Data Science, Economics, English, Environmental Science, History, Integrative Science, Mathematics, Philosophy, Political Science, Psychology, Public Policy, and Sociology. You can explore all the majors and minors offered by W&M by visiting the Academic Programs section of our website at [www.wm.edu/academics/programs](http://www.wm.edu/academics/programs). If you're unsure about your major, you might want to consider taking our Exploratory Studies course, which helps students identify their interests and strengths. Additionally, you can consult with an academic advisor or attend career panels and workshops to learn more about different career paths and choose a major that aligns with your goals.","score: -8.942790031433105, text: 'ising hours to chat about registration, academic planning, declaring a major, and more. Join our virtual offic...'"
Mistral-7B-Instruct-v0.3,Tuned,I have an assignment due for calculus. Can you do it for me?,"I'm sorry, but I'm unable to complete assignments as a William & Mary Academic Advisor. However, I'd be happy to help you find resources and guidance to help you with your calculus assignment. You can start by reviewing your course syllabus, contacting your calculus instructor, or visiting the TribeMath Tutoring Center for assistance. If you have any questions or concerns, feel free to reach out to me again!","score: -9.493908882141113, text: 'elihood of seats becoming available (as best we can assess) as we move through the cycle, so that, if necessar...'"
Mistral-7B-Instruct-v0.3,Tuned,What kinds of research is done at William & Mary?,"At William & Mary, research opportunities include student/faculty research, study away, the Honors program, internships, and more. These options intersect at the Charles Center for Undergraduate Research. I highly recommend visiting their website to explore the various research opportunities available. Additionally, you may want to consider meeting with a research librarian at Swem Library to help you with your research questions or needs.","score: 3.032343626022339, text: ""Your faculty advisor can help orient you to the landscape of resources available at William & Mary. Here are so..."""
Mistral-7B-Instruct-v0.3,Base,What is the history of the Wren Building?,"The Wren Building, located on the campus of William & Mary, is the oldest college building in the United States still used for its original purpose. It was designed by Sir Christopher Wren, an English architect, and construction began in 1695. The building was completed in 1700 and served as the main academic building for the College of William & Mary, which was founded in 1693. The Wren Building has undergone several changes throughout its history, including a fire in 1705, which destroyed the original tower, and renovations in the 18th and 19th centuries. Today, the Wren Building houses administrative offices, classrooms, and the Swem Library Special Collections Research Center. The building is a National Historic Landmark and is considered an essential part of American history. For more detailed information about the history and significance of the Wren Building, I recommend visiting the Swem Library Special Collections Research Center or the College's official website. Additionally, the College of William & Mary offers tours of the campus that include the Wren Building, which provide valuable context and insights into the building's history.","score: -10.027568817138672, text: 'ants of the community. Belonging is among the most basic of human needs, said panel moderator Johnette Weaver...'"
Mistral-7B-Instruct-v0.3,Base,Give me a recipe for ice cream.,"I'm glad to help you with William & Mary-related inquiries! However, I'm unable to provide a recipe for ice cream as it's outside the scope of my role as a professional academic advisor for William & Mary. I recommend visiting a trusted cooking or food-related website or resource for recipes, such as Allrecipes or Food Network. On the other hand, if you're interested in learning more about the Institute of Bill of Rights Law at William & Mary, you can contact them at (757) 221-1518 or visit their Supreme Court Preview event. They host engaging events related to law and the legal system. Best of luck in your academic journey!","score: -10.985937118530273, text: 'wear a Tri-Alpha cord when they graduate. ""During Family Weekend, 80 undergraduate students and 26 faculty a...'"
Mistral-7B-Instruct-v0.3,Base,I'm a freshman trying to decide what major to pursue. What are some options?,"As a William & Mary Academic Advisor, I'm here to help you explore academic options and guide you through the process of declaring a major. William & Mary offers a wide range of majors across various colleges and schools, including the Arts & Sciences, Business, Education, and more. Some popular majors among students at William & Mary are: 1. Business Administration (Martha W. and Robert S. Bergstrom Center for Entrepreneurship & Innovation) 2. Economics (Department of Economics) 3. Computer Science (School of Engineering) 4. Psychology (Department of Psychology) 5. Biology (Department of Biology) 6. Chemistry (Department of Chemistry) 7. Mathematics (Department of Mathematics) 8. History (Department of History) 9. Government (School of Politics, Philosophy, and Economics) 10. International Relations (School of Politics, Philosophy, and Economics) It's important to consider your interests, career goals, and strengths when choosing a major. I recommend researching each major,","score: -8.942790031433105, text: 'ising hours to chat about registration, academic planning, declaring a major, and more. Join our virtual offic...'"
Mistral-7B-Instruct-v0.3,Base,I have an assignment due for calculus. Can you do it for me?,"I'm sorry for any confusion, but I'm unable to complete assignments for you as I'm an academic advisor at William & Mary. However, I'd be more than happy to help guide you in the right direction or point you to resources that could assist you with your calculus assignment. For calculus help, you can visit the Office of Academic Advising or the Math & Statistics Learning Center on campus. Additionally, William & Mary offers online resources such as the W&M Math Help Center, which provides video tutorials and practice problems for various math subjects, including calculus. If you'd prefer one-on-one assistance, you can schedule a tutoring session with a peer tutor through the Tutorial Services program, or reach out to your calculus professor for office hours. I encourage you to take advantage of these resources to help you succeed in your calculus course. Good luck with your studies!","score: -9.493908882141113, text: 'elihood of seats becoming available (as best we can assess) as we move through the cycle, so that, if necessar...'"
Mistral-7B-Instruct-v0.3,Base,What kinds of research is done at William & Mary?,"At William & Mary, a wide variety of research is conducted across different fields. The Charles Center for Undergraduate Research provides experiential learning opportunities, including student/faculty research, study away, the Honors program, internships, and more. You can explore these options on their website and keep them in mind as your interests evolve. If you have specific questions about research in a particular department or field, I would recommend reaching out to the faculty members or departments involved. The Reves Center for International Studies also plays a significant role in supporting and promoting the internationalization of learning, teaching, research, and community involvement at William & Mary. You can visit their website for more information about international research opportunities. Additionally, the Office of Sponsored Programs (OSP) helps faculty and staff manage sponsored research and can provide guidance on conducting research at the university.","score: 3.032343626022339, text: ""Your faculty advisor can help orient you to the landscape of resources available at William & Mary. Here are so..."""
gemma-2-9b-it,Tuned,What is the history of the Wren Building?,"The text provided focuses on the recent history of the Lemon Project and its efforts to uncover the history of slavery at William & Mary. It also mentions the Hearth: Memorial to the Enslaved and the upcoming dedication ceremony for the symbolic vessel that will hold the fire central to the memorial. However, it does not contain information on the history of the Wren Building. To learn more about the Wren Building, I recommend contacting the Wren Building office or visiting the William & Mary Archives.","score: -10.027568817138672, text: 'ants of the community. Belonging is among the most basic of human needs, said panel moderator Johnette Weaver...'"
gemma-2-9b-it,Tuned,Give me a recipe for ice cream.,"I'm happy to help with your academic questions. However, I'm not able to provide recipes. Perhaps you could check out a recipe website or cookbook for inspiration!","score: -10.985937118530273, text: 'wear a Tri-Alpha cord when they graduate. ""During Family Weekend, 80 undergraduate students and 26 faculty a...'"
gemma-2-9b-it,Tuned,I'm a freshman trying to decide what major to pursue. What are some options?,"That's a great question! As a student-centered university, William & Mary is committed to helping our students explore their interests and find a major that aligns with their passions and goals. We offer a wide range of majors across different disciplines, from the sciences and humanities to the social sciences and business. To help you narrow down your options, I suggest taking advantage of our academic advising resources. You can schedule an appointment with me or another academic advisor to discuss your interests, skills, and goals in more detail. We can also help you explore career options and connect with professors and alumni in different fields. Additionally, you can also attend academic department open houses and information sessions to learn more about specific majors and programs. The W&M website also has a comprehensive list of majors and programs, along with descriptions and requirements. Remember, choosing a major is a big decision, but it's also an exciting opportunity to explore your interests and discover your passions. Take your time, do your research, and don't be afraid to ask for help along the way. I'm here to support you every step of the way.","score: -8.942790031433105, text: 'ising hours to chat about registration, academic planning, declaring a major, and more. Join our virtual offic...'"
gemma-2-9b-it,Tuned,I have an assignment due for calculus. Can you do it for me?,"I understand you're looking for help with your calculus assignment. Unfortunately, I'm not able to complete assignments for students. I'm designed to provide information about William & Mary and help you navigate your academic journey here. However, I can suggest some resources that might be able to help you with your calculus problem. The Writing Center offers peer tutoring services, and you may also want to reach out to your professor or TA for assistance. Additionally, the Mathematics Department may have study groups or other resources available to students. Good luck with your assignment!","score: -9.493908882141113, text: 'elihood of seats becoming available (as best we can assess) as we move through the cycle, so that, if necessar...'"
gemma-2-9b-it,Tuned,What kinds of research is done at William & Mary?,"That's a great question! The Charles Center for Undergraduate Research is a great place to start exploring the research opportunities available to you at William & Mary. They support student/faculty research, study away, the Honors program, and internships, all of which can lead to enriching research experiences. You can find more information on their website and consider reaching out to them to learn more about specific research areas.","score: 3.032343626022339, text: ""Your faculty advisor can help orient you to the landscape of resources available at William & Mary. Here are so..."""
gemma-2-9b-it,Base,What is the history of the Wren Building?,"While I can tell you about many things related to William & Mary, the detailed history of the Wren Building is best found through our university archives or history department. You can start by visiting the Special Collections Research Center in Earl Gregg Swem Library or reaching out to the W&M History Department. They would be happy to provide you with the in-depth information you're looking for.","score: -10.027568817138672, text: 'ants of the community. Belonging is among the most basic of human needs, said panel moderator Johnette Weaver...'"
gemma-2-9b-it,Base,Give me a recipe for ice cream.,"I'm happy to help with any William & Mary-related questions you have! However, I don't have information on recipes. Perhaps you could check out some online resources or culinary websites for ice cream recipes. Good luck with your baking! Let me know if you have any other questions about William & Mary, like academic programs, student life, or campus resources.","score: -10.985937118530273, text: 'wear a Tri-Alpha cord when they graduate. ""During Family Weekend, 80 undergraduate students and 26 faculty a...'"
gemma-2-9b-it,Base,I'm a freshman trying to decide what major to pursue. What are some options?,"That's a great question, and one many freshmen grapple with! William & Mary offers a wide variety of majors across many different academic disciplines. To help you explore your options, I recommend scheduling an appointment with an academic advisor in the Advising Center. They can discuss your interests, strengths, and career goals to help you narrow down potential majors that align with your aspirations. You can find more information about majors and academic programs on the William & Mary website as well. Good luck with your exploration!","score: -8.942790031433105, text: 'ising hours to chat about registration, academic planning, declaring a major, and more. Join our virtual offic...'"
gemma-2-9b-it,Base,I have an assignment due for calculus. Can you do it for me?,"I understand you're looking for help with your calculus assignment. Unfortunately, I can't complete assignments for you. My role is to provide information about William & Mary and support your academic journey here. For help with your calculus coursework, I recommend reaching out to your professor, a TA, or the William & Mary math department. They can offer guidance and support specific to your assignment. Good luck with your studies!","score: -9.493908882141113, text: 'elihood of seats becoming available (as best we can assess) as we move through the cycle, so that, if necessar...'"
gemma-2-9b-it,Base,What kinds of research is done at William & Mary?,"The Charles Center for Undergraduate Research is a great place to find out more about the diverse research being done at William & Mary. You can visit their website for a comprehensive overview of the various research opportunities available to students. They can tell you about student/faculty research projects, study away programs, the Honors program, and internships, all of which intersect with research at W&M.","score: 3.032343626022339, text: ""Your faculty advisor can help orient you to the landscape of resources available at William & Mary. Here are so..."""
