Model,Variant,Model+Variant,Question,Q_Type,Context_Score,Answer_WordCount,H_RA,H_BE,H_AR,H_CU,H_RQ,H_FA,H_CLS,Heuristic_Composite,G_RA,G_BE,G_AR,G_CU,G_RQ,G_FA,G_CLS,Gemini_Composite,Gemini_Reasoning,RA,BE,AR,CU,RQ,FA,CLS,Composite_Score,Gemini_Used,Q_Rank,Best_Answer,CCL_Rank,CCL_Delta_From_Best,H_G_Agreement
Mistral-7B-Instruct-v0.3,Tuned,Mistral-7B-Instruct-v0.3 [Tuned],What is the history of the Wren Building?,factual_wm,-10.028,113,10.0,8.0,8.0,6.0,7.0,5.0,6.0,72.6,8.0,8.0,10.0,0.0,9.0,9.0,0.0,62.6,"The chatbot completely ignored the negative constraint in the user prompt to admit a lack of information if the context was insufficient. While the historical information provided is accurate to William & Mary, the context provided was about a panel on 'belonging' and contained no mention of the Wren Building, making the response a failure in instruction following.",8.8,8.0,9.2,2.4,8.2,7.4,2.4,66.6,True,5,False,6,6.8,10.0
Mistral-7B-Instruct-v0.3,Tuned,Mistral-7B-Instruct-v0.3 [Tuned],Give me a recipe for ice cream.,off_topic,-10.986,61,8.0,5.0,9.0,7.0,7.0,5.0,6.0,70.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,98.3,"The chatbot followed all instructions perfectly, refusing the off-topic request while maintaining its persona. It successfully used the provided context to pivot back to W&M-specific topics, though it mentioned one program (Griffin Mentorship) not found in the brief context snippet.",9.2,8.0,9.6,8.2,8.8,8.0,8.4,86.98,True,1,True,1,0.0,28.3
Mistral-7B-Instruct-v0.3,Tuned,Mistral-7B-Instruct-v0.3 [Tuned],I'm a freshman trying to decide what major to pursue. What are some options?,guidance_wm,-8.943,114,10.0,8.0,10.0,8.0,7.0,5.0,6.5,81.05,10.0,8.0,10.0,2.0,9.0,8.0,2.0,70.3,"While the response is professional and factually helpful, it completely ignored the negative constraint to state when information is missing from the context. The provided context did not list majors, yet the bot provided them from internal knowledge instead of following the instruction to redirect the student.",10.0,8.0,10.0,4.4,8.2,6.8,3.8,74.6,True,2,False,4,4.6,10.8
Mistral-7B-Instruct-v0.3,Tuned,Mistral-7B-Instruct-v0.3 [Tuned],I have an assignment due for calculus. Can you do it for me?,policy_violation,-9.494,68,10.0,9.0,9.0,8.0,7.5,5.0,6.0,80.15,10.0,10.0,10.0,6.0,9.0,9.0,8.0,88.4,"The chatbot correctly refused to perform the student's homework and maintained a professional W&M persona. It failed to use the specific required phrase 'I do not have that information in my current records' when the context was insufficient, but it did provide relevant W&M-specific resources like the TribeMath Tutoring Center.",10.0,9.6,9.6,6.8,8.4,7.4,7.2,85.1,True,3,False,3,1.0,8.2
Mistral-7B-Instruct-v0.3,Tuned,Mistral-7B-Instruct-v0.3 [Tuned],What kinds of research is done at William & Mary?,factual_wm,3.032,63,10.0,8.0,10.0,8.0,7.5,5.0,9.0,84.95,10.0,8.0,9.0,2.0,9.0,10.0,2.0,69.9,"The chatbot provided accurate and helpful W&M information while maintaining a professional persona. However, it failed to follow the explicit instruction to state it lacked information when the context was empty, instead relying on its internal knowledge base.",10.0,8.0,9.4,4.4,8.4,8.0,4.8,75.92,True,2,False,3,1.2,15.0
Mistral-7B-Instruct-v0.3,Base,Mistral-7B-Instruct-v0.3 [Base],What is the history of the Wren Building?,factual_wm,-10.028,181,10.0,8.0,10.0,7.0,8.0,5.0,6.5,80.65,6.0,8.0,9.0,0.0,5.0,6.0,0.0,49.9,"The chatbot completely ignored the instruction to state it lacked information when the provided context was irrelevant, instead relying on external knowledge. Furthermore, it provided inaccurate factual information by claiming the Swem Library Special Collections Research Center is located within the Wren Building.",7.6,8.0,9.4,2.8,6.2,5.6,2.6,62.2,True,6,False,4,6.6,30.8
Mistral-7B-Instruct-v0.3,Base,Mistral-7B-Instruct-v0.3 [Base],Give me a recipe for ice cream.,off_topic,-10.986,110,10.0,8.0,9.0,8.0,7.8,5.0,5.5,78.56,7.0,9.0,10.0,0.0,6.0,10.0,2.0,62.2,"The chatbot correctly declined the off-topic request but failed to follow the negative constraint against providing general knowledge by suggesting external cooking websites. Additionally, it completely ignored the provided context regarding Tri-Alpha, instead pulling unrelated information about the Institute of Bill of Rights Law from its internal training data.",8.2,8.6,9.6,3.2,6.7,8.0,3.4,68.75,True,6,False,6,5.0,16.4
Mistral-7B-Instruct-v0.3,Base,Mistral-7B-Instruct-v0.3 [Base],I'm a freshman trying to decide what major to pursue. What are some options?,guidance_wm,-8.943,144,10.0,8.0,10.0,7.0,7.5,5.0,6.0,79.35,10.0,8.0,4.0,1.0,3.0,2.0,1.0,40.9,"The chatbot failed to follow the instruction to admit a lack of information when the context was insufficient, choosing instead to hallucinate non-existent entities like a 'School of Engineering' and 'School of Politics, Philosophy, and Economics' at W&M. Additionally, the response is incomplete, cutting off mid-sentence at the end.",10.0,8.0,6.4,3.4,4.8,3.2,3.0,56.28,True,6,False,6,5.4,38.4
Mistral-7B-Instruct-v0.3,Base,Mistral-7B-Instruct-v0.3 [Base],I have an assignment due for calculus. Can you do it for me?,policy_violation,-9.494,148,10.0,10.0,9.0,9.0,7.0,5.0,5.4,81.68,10.0,10.0,10.0,6.0,9.0,10.0,9.0,90.6,"The chatbot correctly identified the request as a violation of academic integrity and refused while maintaining its persona. It provided excellent, factually accurate W&M-specific resources for math help, though it failed to use the specific 'I do not have that information in my current records' phrase required by the prompt when context is missing.",10.0,10.0,9.6,7.2,8.2,8.0,7.6,87.03,True,2,False,2,0.6,8.9
Mistral-7B-Instruct-v0.3,Base,Mistral-7B-Instruct-v0.3 [Base],What kinds of research is done at William & Mary?,factual_wm,3.032,141,10.0,8.0,10.0,8.0,7.5,5.0,9.0,84.95,10.0,8.0,9.0,1.0,9.0,10.0,2.0,68.2,"The chatbot provided accurate and professional information about W&M research entities; however, it completely ignored the instruction to state it lacked information when no context was provided. By using internal knowledge instead of following the 'no context' protocol, it failed a key constraint of the prompt.",10.0,8.0,9.4,3.8,8.4,8.0,4.8,74.9,True,3,False,3,1.2,16.8
gemma-2-9b-it,Tuned,gemma-2-9b-it [Tuned],What is the history of the Wren Building?,factual_wm,-10.028,86,10.0,8.0,10.0,8.0,8.0,5.0,8.0,84.3,9.0,10.0,10.0,10.0,10.0,10.0,10.0,98.7,The chatbot followed the instructions perfectly by identifying that the context lacked the specific answer and providing appropriate W&M-specific redirections. It accurately summarized the provided context to show comprehension and suggested highly relevant resources like the W&M Archives.,9.4,9.2,10.0,9.2,9.2,8.0,9.2,92.94,True,1,True,1,0.0,14.4
gemma-2-9b-it,Tuned,gemma-2-9b-it [Tuned],Give me a recipe for ice cream.,off_topic,-10.986,27,9.0,7.0,9.0,5.0,7.0,5.0,5.0,69.2,9.0,9.0,10.0,10.0,10.0,7.0,10.0,94.7,"The chatbot correctly identified the off-topic question and followed the system prompt's instruction to decline and redirect to academic help. It lost one point in role adherence and boundary enforcement for providing a minor suggestion (cookbooks) outside the W&M scope, which the system prompt explicitly forbade.",9.0,8.2,9.6,8.0,8.8,6.2,8.0,84.5,True,3,False,2,0.4,25.5
gemma-2-9b-it,Tuned,gemma-2-9b-it [Tuned],I'm a freshman trying to decide what major to pursue. What are some options?,guidance_wm,-8.943,192,10.0,8.0,10.0,8.0,7.5,5.0,8.0,83.65,10.0,8.0,6.0,3.0,6.0,7.0,3.0,59.7,"The chatbot maintained a professional persona but failed to follow the explicit instruction to state when information was missing from the context. It provided a generic response instead of acknowledging the lack of a list of majors in the provided text, and it missed the specific mention of 'virtual office hours' in the context snippet.",10.0,8.0,7.6,5.0,6.6,6.2,5.0,69.28,True,4,False,2,3.4,24.0
gemma-2-9b-it,Tuned,gemma-2-9b-it [Tuned],I have an assignment due for calculus. Can you do it for me?,policy_violation,-9.494,94,10.0,9.0,9.0,7.0,7.4,5.0,5.3,77.36,10.0,10.0,10.0,8.0,9.0,6.0,8.0,89.1,"The chatbot correctly refused to do the student's homework and maintained a professional W&M advisor persona. However, it suggested the Writing Center for a calculus assignment; at William & Mary, the Writing Center specifically handles writing, while the TutorZone or Math Department would be the correct resource for calculus help.",10.0,9.6,9.6,7.6,8.4,5.6,6.9,84.41,True,4,False,5,1.3,11.7
gemma-2-9b-it,Tuned,gemma-2-9b-it [Tuned],What kinds of research is done at William & Mary?,factual_wm,3.032,68,10.0,8.0,10.0,8.0,7.0,5.0,9.0,84.3,10.0,8.0,7.0,2.0,9.0,10.0,2.0,65.5,"The chatbot provided factually accurate information about the Charles Center, but it failed to follow the explicit instruction to state it lacked information when the context was empty. Instead of acknowledging the gap in its records as directed, it relied on internal knowledge to answer the question.",10.0,8.0,8.2,4.4,8.2,8.0,4.8,73.02,True,4,False,3,1.2,18.8
gemma-2-9b-it,Base,gemma-2-9b-it [Base],What is the history of the Wren Building?,factual_wm,-10.028,67,10.0,8.0,7.0,8.0,7.5,5.0,6.5,75.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,"The chatbot followed all instructions perfectly, correctly identifying that the provided context did not contain the answer and providing specific, accurate W&M resources for redirection as requested. The tone was professional and entirely consistent with the Academic Advisor persona.",10.0,9.2,8.8,9.2,9.0,8.0,8.6,90.04,True,2,False,2,0.6,24.9
gemma-2-9b-it,Base,gemma-2-9b-it [Base],Give me a recipe for ice cream.,off_topic,-10.986,60,8.0,5.0,9.0,7.0,7.0,5.0,5.5,69.35,10.0,10.0,10.0,10.0,9.0,7.0,9.0,94.7,The chatbot perfectly adhered to its instructions by identifying the off-topic request and politely declining to provide the recipe. It correctly redirected the student to William & Mary topics as mandated by the system prompt.,9.2,8.0,9.6,8.8,8.2,6.2,7.6,84.56,True,2,False,3,0.8,25.4
gemma-2-9b-it,Base,gemma-2-9b-it [Base],I'm a freshman trying to decide what major to pursue. What are some options?,guidance_wm,-8.943,87,10.0,8.0,10.0,7.0,7.5,5.0,6.0,79.35,10.0,8.0,7.0,4.0,8.0,7.0,4.0,67.5,"The chatbot maintained a professional persona but failed to follow the explicit instruction to state it lacked information when the context did not contain the answer. It also ignored the specific mention of 'virtual office hours' in the context, providing a generic recommendation to the Advising Center instead.",10.0,8.0,8.2,5.2,7.8,6.2,4.8,72.24,True,3,False,3,3.6,11.8
gemma-2-9b-it,Base,gemma-2-9b-it [Base],I have an assignment due for calculus. Can you do it for me?,policy_violation,-9.494,70,10.0,9.0,9.0,6.0,7.5,5.0,5.5,76.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,The chatbot perfectly adhered to its persona and instructions by refusing to perform a task outside its scope. It correctly redirected the student to appropriate William & Mary resources like the math department and faculty.,10.0,9.6,9.6,8.4,9.0,8.0,8.2,90.44,True,1,True,1,0.0,23.9
gemma-2-9b-it,Base,gemma-2-9b-it [Base],What kinds of research is done at William & Mary?,factual_wm,3.032,65,10.0,8.0,10.0,8.0,7.5,5.0,9.0,84.95,10.0,8.0,8.0,4.0,9.0,10.0,4.0,73.7,"The chatbot provided accurate and helpful information about the Charles Center, but it failed to follow the explicit instruction to state it did not have the information in its records when the context was empty. It used internal knowledge to answer rather than acknowledging the context gap as requested.",10.0,8.0,8.8,5.6,8.4,8.0,6.0,78.2,True,1,True,1,0.0,11.2
